Book_Name,chapter,verse,sanskrit,translation,question,Commentary,English Verse,Chapter Name
Patanjali Yoga Sutras,1,12,अभ्यासवैराग्याभ्यां तन्निरोधः,"In order to quiet the fluctuations of the mind, one needs - practice and dispassion.",What are the methods to achieve the goal of Yoga? What are the methods to quieten the fluctuations of the mind? What are the means to calm your thoughts? What is the importance of practice and dispassion?,"If the question was asked, how do we make progress in restraining these five activities, a common answer given would be practice. This Sutra is pointing out that in addition to practice, the other important component is dispassion. In other words, the reason many of these mental activities are occurring is because of our our attraction toward someone or something.",abhyāsavairāgyābhyām tannirodhaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,13,तत्र स्थितौ यत्नोऽभ्यासः,Practice involves the persistent effort to abide in 'elevated' state.,Define Practice? What is 'practice'? ,The Sutra is defining what we’re trying to do. The point of yoga is to sit with a controlled mind without losing control. You want to achieve steadiness. Practice is the effort to achieve that.,atra sthitau yatno ‘bhyāsaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,14,स तु दीर्घकालनैरंन्तर्यसत्कारासेवितो दृढ़भूमिः,Skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.,Define the characteristics of 'practice'? What are the features of 'practice'? What kind of practice quietens the fluctuations of the mind?,"This Sutra is stating that we will be successful if we do the practice with devotion and consistently for long periods of time. It is not a quick process, but rather takes time.",sa tu dīrghakālanairantaryasatkārādarāsevito dṛḍhabhūmiḥ,Samādhi pāda
Patanjali Yoga Sutras,1,15,दृष्टानुश्रविकविषयवितृष्णस्य वशीकारसंज्ञा वैराग्यम्,"Complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned.",What constitutes dispassion or detachment? What are the characteristics of dispassion? What are the signs of successful dispassion?,Progress in yoga is not possible if our mind is constantly externalized by objects or people to whom it is strongly attracted whether actually seen or simply heard about. Some commentators consider what is heard to mean what is described in scripture such as the heavenly worlds.,dṛṣṭānuśravikaviṣayavitṛṣṇasya vaśikārasamjñā,Samādhi pāda
Patanjali Yoga Sutras,1,16,तत्परं पुरुषख्यातेर्गुणवैतृष्ण्यम्,Pure awareness can recognize its independence from the fundamental qualities of nature when ultimate dispassion is achieved.,What is the attribute of an elevated level of dispassion? What happens when highest level of dispassion is reached?,"When the spiritual awakening takes place of the purusha experiencing its own nature, there is a natural loss of interest in all of prakriti’s manifestations. This is called paravairagya—the supreme state of dispassion.",tatparaṃ puruṣakhyāterguṇavaitṛṣṇyam,Samādhi pāda
Patanjali Yoga Sutras,1,17,वितर्कविचारानन्दास्मितारूपानुगमात्संप्रज्ञातः,"Initially, the process of stilling the mind involves four levels of elevated cognition, including analytical thinking, insight, bliss, and the sense of self.",What are the levels of meditative absorbtion? What are the stages of meditative absorbtion?,In ordinary  perception the subject and the object are always distinct. The distinguishing factor of the perspective of samadhi is the experiential identification of the subject and object.,vitarkavicārānandāsmitārūpānugamātsaṃprajñātaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,18,विरामप्रत्ययाभ्यासपूर्वः संस्कारशेषोऽन्यः,"As one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind.",What is the last level of meditative absorption? What happens at the highest level of meditative absorption? ,"In these two Sutras Patanjali is introducing the focus of the chapter which is on samadhi. Samadhi is the ultimate goal of the practice of yoga, the highest attainment. Here he is introducing samadhi in a simple way. More information is given later on in the chapter. In samprajnata samadhi when all mental activity is restricted without gross or subtle objects or even ananda and asmita present, that samadhi becomes asamprajnata. In other words, the approach to the deepest samadhi is by giving up something you are already experiencing rather than by attaining something new.",virāma pratyayābhyāsapūrvaḥ saṃskāraśeṣo ‘nyaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,19,भवप्रत्ययो विदेहप्रकृतिलयानाम्,Once the body is gone and these latent impressions might give rise to rebirth.,What happens if the meditative absorption is incomplete? ,This Sutra describes the samadhi of yogis who have opted for attainments rather than renunciation. Comparing Sutras 18 and 19 it can be seen that opting for attainments is found in the phrase bhava pratyaya “notion of becoming” whereas attainment of samadhi has the phrase virama pratyaya “notion of cessation.”,bhavapratyayo videha prakṛtilayānām,Samādhi pāda
Patanjali Yoga Sutras,1,20,श्रद्धावीर्यस्मृतिसमाधिप्रज्ञापूर्वक इतरेषाम्,"For others, the path to realization involves faith, energy, right cognition in form of memory and to understand the various elevated levels of wisdom.",What are the various paths to realisation?,"The qualities of faith, energy and mindfulness can lead to samprajnata samadhi and mystical insight which then can lead to asamprajnata samadhi.",ṣraddhāvīryasmṛtisamādhiprajñāpūrvaka itareṣām,Samādhi pāda
Patanjali Yoga Sutras,1,21,तीव्रसंवेगानामासन्नः,"Those who earnestly seek liberation will find that realization is within reach, depending on the intensity of their practice.",Does intense practice help in achieving realisation?,"Committed is a translation of samvega. Hariharananda gives this explanation: “The word ‘Samvega’ is a technical term in the science of Yoga. We find it in Buddhist literature also. It means not only detachment, but also aptitude combined with a feeling of reverence in devotional practice and the resultant ardor to hasten forward. It is like gathering momentum as you proceed. Endowed with latent impression of detachment and full of enthusiasm and energy, when the devotee constantly engages himself with intensity in attaining the path of liberation, he acquires momentum as he advances.”",tīvrasaṃvegānāmāsannaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,22,मृदुमध्याधिमात्रत्वात्ततोऽपि विशेषः,"The proximity to realization varies according to whether the practice is mild, moderate, or intense.",What are the various levels of Yoga practice?,This further differentiation among yogis influences how imminent the attainment of samadhi is.,mṛdumadhyādhimātratvāttato ‘pi viśeṣaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,23,ईश्वरप्रणिधानाद्वा,Another pathway to realization involves being directed toward the ideal of pure awareness i.e. Ishvara or God.,What is the other singular path to achieve the (highest level of) meditative absorption? Do Yogis believe in God? Does praying to God help in Yoga? How does praying to God help?,"Commentator Vyasa explains: “Through a special kind of devotion called Isvara-pranidhana, on the part of the devotee, Isvara inclines towards him and favors him with grace for fulfillment of his wish. From such grace also a Yogin obtains samadhi and its result, the attainment of the state of liberation, becomes imminent.”",īśvarapraṇidhānādvā,Samādhi pāda
Patanjali Yoga Sutras,1,24,क्लेशकर्मविपाकाशयैरपरामृष्टः पुरुषविशेष ईश्वरः,"Ishvara or God is a unique and incorruptible manifestation of pure awareness that is completely independent of cause and effect, and devoid of any latent impressions.",What is the nature of God? ,"Though Ishvara is a purusha as are ordinary humans, Ishvara is distinct. Two distinctions are mentioned in this Sutra. The first is not being affecting by the five kleshas which are ignorance, identification with I-am-ness, attraction, aversion, and clinging to life. Karmas can each be divided into two categories: arabdha, “begun,” “undertaken,” karma that is ripening; and anarabhda, “not commenced,” “dormant,” seed or stored karma. Ishvara is not affected by either.",kleśakarmavipākāśayairaparāmṛṣṭaḥ puruṣaviśeṣa īśvaraḥ,Samādhi pāda
Patanjali Yoga Sutras,1,25,तत्र निरतिशयं सर्वज्ञबीजम्,Isvara or God is limitless and with unparalleled omniscience.,Describe the characteristics of God?,"This Sutra points out a further distinction which is related to knowledge. Whereas the ordinary purusha is in the process of increasing its knowledge, Ishvara is in the state of knowing everything—sarvajnana.",atra niratiśayaṃ sarvajñabījam,Samādhi pāda
Patanjali Yoga Sutras,1,26,स एषः पूर्वेषामपि गुरुः कालेनानवच्छेदात्,"Being beyond time, Isvara or God is revered as the primoridial master by the ancients.",Who is considered as the primordial teacher? Who is considered as the original teacher? Who is considered as the primordial master? Who is considered as the original master? Who is considered as the primordial Guru? Who is considered as the original Guru?,"This Sutra is pointing out that the original source of knowledge concerning yoga is Ishvara, not a human being. One of the common representations of Ishvara as teacher is the murti of Dakshinamurti in which Lord Siva is depicted sitting under a banyan tree, silently teaching four rishis at His feet.",sa eṣa pūrveṣāmapi guruḥ kālenānavacchedāt,Samādhi pāda
Patanjali Yoga Sutras,1,27,तस्य वाचकः प्रणवः,"Isvara or God is symbolized by the sacred sound of ""Om"".",What name represents God? What sound represents God? What is God's name?,"As knowledge at its deepest level is omniscience, and is a description of Ishvara, sound at its deepest level is the AUM, the primal sound and is also an accurate description of Ishvara.",tasya vācakaḥ praṇavaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,28,तज्जपस्तदर्थभावनम्,This verbatim of Ishvara is to be repeated with devotion along with its meaning.,How should one take the name of God? What is the effective way to utter the name of God?,"There are a number of meanings attributed to the mantra AUM.  One of them can be chosen to keep in mind while performing japa of the mantra.  For example, AUM is explained in the the Mandukya Upanishad as standing for the whole world and its parts, including past, present and future.",tajjapastadarthabhāvanam,Samādhi pāda
Patanjali Yoga Sutras,1,29,ततः प्रत्यक्चेतनाधिगमोऽप्यन्तरायाभावश्च,"As one continues to focus on Ishvara as mentioned, one's consciouness ascends and also obstacles begin to dissipate.",What is the benefit of taking the name of God? What happens if one utters God's name in the prescribed manner?,"The simple practice of chanting AUM takes one into higher states of consciousness. Being in a higher state, many of the obstacles mentioned in the next Sutra are not present.",tataḥ pratyakvetanādhigamo ‘pyantarāyābhāvaśca,Samādhi pāda
Patanjali Yoga Sutras,1,30,व्याधिस्त्यानसंशयमप्रमादालस्याविरतिभ्रान्तिदर्शनालब्धभूमिकत्वानवस्थितत्वानि चित्तविक्षेपास्तेऽन्तरायाः,"Obstacles such as sickness, apathy, doubt, carelessness, laziness, hedonism, delusion, lack of progress, and inconstancy all serve as distractions that clouds consciousness and act as barriers.",How many kinds of distractions of mind are there? What are the types of barriers in the path of Yoga?,The obstacles tend to be present when an individual is uninspired about his or her yoga practice. The Sutras coming up give eight different practices for uplifting oneself to a higher state of consciousness in which the obstacles naturally fall away.,vyādhi styāna saṃśaya pramādālasyāvirati bhrāntidarśanālabdhabhūmikatvānavasthitatvāni cittavikṣepāste’ntarayaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,31,दुःखदौर्मनस्याङ्गमेजयत्वश्वासप्रश्वासा विक्षेपसहभुवः,"These distractions may result in feelings of distress, depression, or an inability to maintain steadiness of posture or breathing (uncontrolled inhalations & exhalations).",What are the effects of a distracted mind? What symptoms create the barriers on the path of Yoga?,This Sutra points out that being in an uninspired state not only affects one emotionally and mentally in a negative way but physically as well.,duḥkha daurmanasyāṅgamejayatva śvāsa praśvāsā vikṣepa sahabhuvaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,32,तत्प्रतिषेधार्थमेकतत्त्वाभ्यासः,"However, focus towards one unwavering 'element' (here Ishwara) can help one subdue these distractions.",What singular factor can alleviate the distractions of mind? How can one combat distractions of mind and its accompanying symptms?,This practice for overcoming the obstacles works easiest if the subject chosen to concentrate upon is one that the individual really enjoys. It is easy to concentrate on what we enjoy and that concentration soon leads to upliftment.,tat pratiṣedhārtham eka tattvābhyāsaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,33,मैत्रीकरुणामुदितोपेक्षाणां सुखदुःखपुण्यापुण्यविषयाणां भावनातश्चित्तप्रसादनम्,"Other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",What are the other means to calm mental distractions? What constitutes emotional intelligence in Yoga? ,"Projecting friendliness, compassion and gladness to the people we interact with is a practice that uplifts us spiritually. And in the process not to let interaction with a non-meritorious person upset us, is where equanimity fits in.",maitrī karunā muditopekṣānāṃ sukha duḥkha punyāpunyā viṣayānam bhāvanātaś citta prasādanaṃ,Samādhi pāda
Patanjali Yoga Sutras,1,34,प्रच्छर्दनविधारणाभ्यां वा प्राणस्य,Another way involves pausing after forceful exhalations.,How to calm the mental distractions through breath control? ,"Pranayama, regulation of breath is a standard way in for quieting the mind. Breath and mind are interrelated. The mind can easily be calmed by regulating the breath.",pracchardana vidhāranābhyāṃ vā prāṇasya,Samādhi pāda
Patanjali Yoga Sutras,1,35,विषयवती वा प्रवृत्तिरुत्पन्ना मनसः स्थितिनिबन्धनी,Steadily observing as new (sattvik) sensations arise  (by the means of any of the 5 sense organs) can be a way to subdue distractions and focus the mind.,How to calm the mind using the senses?,Examples would be a particularly beautiful sight or a captivating smell can uplift our state of mind.,viṣayavatī vā pravṛttir utpannā manasaḥ sthiti nibandhanī,Samādhi pāda
Patanjali Yoga Sutras,1,36,विशोका वा ज्योतिष्मति,Experiencing thoughts that are luminous and free of sorrow can also aid in achieving stillness of mind.,What are some other means to calm mental distractions? How can we achieve stillness of mind?,The practice of vichara can give rise to mystical insights and thus the distractions naturally fall away.,viśokā vā jyotiṣmatī,Samādhi pāda
Patanjali Yoga Sutras,1,37,वीतरागविषयं वा चित्तम्,Focusing on things/people that do not inspire attachment can be a helpful technique in meditation.,Does holy company help in Yoga?,Same idea as the last Sutra.,vīta rāga viṣayaṃ vā cittam,Samādhi pāda
Patanjali Yoga Sutras,1,38,स्वप्ननिद्राज्ञानालम्बनं वा,Reflecting on insights gained while asleep and dreaming can be a source of guidance too.,Can dreams help in Yoga? Are dreams relevant for Yoga?,Again the same idea.,svapna nidrā jñānālambanaṃ vā,Samādhi pāda
Patanjali Yoga Sutras,1,39,यथाभिमतध्यानाद्वा,Meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,Can focus on anything of one's (satvik) choice help in calming the mind? Can we focus of something of our choice? What should we focus on during meditation? How should we medidate?,This is the idea that we would choose a meditation that we would find interesting and would easily lead to upliftment.,yathābhimatadhyānādvā,Samādhi pāda
Patanjali Yoga Sutras,1,40,परमाणुपरममहत्त्वान्तोऽस्य वशीकारः,"Complete absorption in any object, whether subtlest and (macroscopic or) microscopic , is possible through meditation.",What kind of ability is gained by those who have controlled their mental distractions? What powers accrue when one calms down their mind?,An advanced adept of yoga can successfully focus on objects from the smallest to the largest.,paramāṇuparamamahattvānto ‘sya vaśīkāraḥ,Samādhi pāda
Patanjali Yoga Sutras,1,41,क्षीणवृत्तेरभिजातस्येव मणेर्ग्रहीतृग्रहणग्राह्येषु तत्स्थतदञ्जनता समापत्तिः,"As the fluctuations of mind fade away, a transparent mode of perception called 'samapatti'* alike to a transparent jewel/prism takes over. This transparent mind reflects everything in its perview equally - subject, object, or act of perceiving - like a prism (reflecting the constituents of light in seven colors).",What are the qualities of a mind ready for higher level of meditative absorption? What is samapatti?,"Patanjali is returning to the topic of samadhi and providing further details on the vitarka and vichara stages of samprajñata samadhi. To the phrase like pure crystal, some translators add the phrase which takes on the reflection and color of proximate objects. If you place a red flower in front of a pure crystal, the shape and color of the flower will show in the crystal. This is what happens to the mind in this practice. It is filled only with the idea of the red flower. The mind and the flower have coalesced. The coalescence has three aspects to it which are the subject, the process of experience and the object experienced. These are known respectively as grasper, grasping and grasped.",kṣīṇavṛtterabhijātasyeva maṇergrahītṛgrahaṇagrāhyeṣu tatsthatadañjanatā samāpattiḥ,Samādhi pāda
Patanjali Yoga Sutras,1,42,तत्र शब्दार्थज्ञानविकल्पैः संकीर्णा सवितर्का समापत्तिः,"In the state of 'savitarka samapatti'* i.e. samapatti* with physical awareness constitutes with liguistic idea of word, meaning and idea.",What are the stages of cognition for a mind ready for meditative absorption? What is savitarka samapatti?,"The commentators use a cow as an example. “When in the mind of a yogin engrossed in the thought of a cow, there is the mingling of the word (cow), the object meant (the animal itself) and the idea of the cow , it is called savitarka samapatti.”",tatra śabdārthajñānavikalpaiḥ saïkīrṇā savitarkā samāpattiḥ,Samādhi pāda
Patanjali Yoga Sutras,1,43,स्मृतिपरिशुद्धौ स्वरूपशून्येवार्थमात्रनिर्भासा निर्वितर्का,"At the next stage, objects lose their association with memory and are formless, revealing only their essential nature. This stage is known as 'nirvitarka'*.",How does the cognition of a mind at the higher level of mediative absorption appear? What is nirvitarka samapatti?,Eventually the cogitation process is transcended and the knowledge of the object remains without the words. This Sutra is describing the nirvitarka stage of the process. It is also explained as taking the object out of time and space or becoming the object.,smṛtipariśuddhau svarūpaśūnyevārthamātranirbhāsā nirvitarkā,Samādhi pāda
Patanjali Yoga Sutras,1,44,एतयैव सविचारा निर्विचारा च सूक्ष्मविषया व्याख्याता,"Similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",What is/are the subject matter of the mind at the higher levels of meditative absorption? What is savichara state? What is nirvichara state?,"The second type, vichara, is focused on an internal or mental object. First is the savichara stage of the process. Eventually the reflection is transcended and the knowledge of the object remains. This is the nirvichara stage of the process.",etayaiva savicārā nirvicārā ca sūkṣmaviṣayā vyākhyātā,Samādhi pāda
Patanjali Yoga Sutras,1,45,सूक्ष्मविषयत्त्वं चालिङ्गपर्यवसानम्,"By tracing subtle objects back to their undifferentiated nature, they can be understood.",What are the details of the subject matter of the mind at the higher levels of meditative absorption?,This Sutra is indicating that any subtle object can be traced back to its ultimate source which is the undifferentiate.,sūkṣmaviṣayatvaṃ cāliïgaparyavasānam,Samādhi pāda
Patanjali Yoga Sutras,1,46,ता एव सबीजः समाधिः,"The four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",What name is given to the all these higher level of meditative absorption collectively? What are the higher levels of meditative absorption collectively reffered to as? What is sabija samadhi? What are the four stages of sabija samadhi?,The four types of samapatti given all have an object which is the focal point of the practice. Savitarka and nirvitarka utilize gross objects. Savichara and nirvichara utilize subtle objects.,tā eva sabījaḥ samadhiḥ,Samādhi pāda
Patanjali Yoga Sutras,1,47,निर्विचारवैशारद्येऽध्यात्मप्रसादः,"(Among these four stages) once the stage of nirvichara* is comprehended, the nature of the self is illuminated.",What happens if one successfully goes past these higher level of meditative absorption? What happens when the state of nirvichara is achieved?,"The translators explain that the word for lucidity, vaisharadya, refers to the extraordinary brightness of the autumnal sky of north India.",nirvicāravaiśāradye ‘dhyātmaprasādaḥ,Samādhi pāda
Patanjali Yoga Sutras,1,48,ऋतंभरा तत्र प्रज्ञा,The wisdom that arises from this comprehension is infallible.,How does the mind behave once passed the higher levels of meditation? What special quality is bestowed once the mind succesfully achieves the higher levels of meditation? Can one fall even after reaching nirvichara state?,"This knowledge is considered truth-bearing in that it discloses the contemplated object as it is, in a flash of insight and without any mental distortions.",ṛtaṃbharā tatra prajñā,Samādhi pāda
Patanjali Yoga Sutras,1,49,श्रुतानुमानप्रज्ञाभ्यामन्यविषयाविशेषार्थत्वात्,"This wisdom, unlike knowledge gained from inference or instruction, therefore holds a special importance.",What is special about the knowledge gained after reaching nirvichara state?,The particular purposiveness is explained in the next Sutra.,śrutānumānaprajñābhyāmanyaviṣayā viśeṣārthatvāt,Samādhi pāda
Patanjali Yoga Sutras,1,50,तज्जः संस्कारोऽन्यसंस्कारप्रतिबन्धी,"The impressions/ideas generated by this special knowledge, hinder the activation of other impressions.",Can other impressions arise even after reaching the nirvichara state?,"Samskaras are imprints left on the subconscious mind by experience. However, they are also activators, constantly propelling consciousness into action. In this regard they are described as subliminal activators. The idea here is that through practice of nirvichara samapatti a new samskara has been created that is more powerful than others and that it is of the nature to draw us inward in deep meditation rather than outward into external activities.",tajjaḥ saṃskāro ‘nyasaṃkārapratibandhī,Samādhi pāda
Patanjali Yoga Sutras,1,51,तस्यापि निरोधे सर्वनिरोधान्निर्बीजः समाधिः,"When these impressions too come to an end, and the movement of consciousness is entirely pacified, this stage of 'impressionless' consciousness is termed as 'seedless' meditative absorption.",What happens when the impressions present in the nirvichara state come to an end?,"When the impulse to go deeply within is replaced by simply being deeply within, the resulting samadhi is described as objectless.",tasyāpi nirodhe sarvanirodhānnirbījaḥ samādhiḥ,Samādhi pāda
Patanjali Yoga Sutras,2,1,तपः स्वाध्यायेश्वरप्रणिधानानि क्रियायोगः,"Kriya Yoga comprises of self discipline, study of self, and devotion towards Ishvara.",What is Kriya Yoga? What constitutes Kriya Yoga? Is devotion to God a part of Yoga? Is devotion to God a part of Kriya Yoga?,"In modern Hindu teachings, the most common use of the term kriya yoga is to refer to a breathing technique, pranayama. Here, however, the term kriya yoga simply means the “yoga of action.” Kriya can have the sense of religious action and therefore kriya yoga could also be rendered in English as “the yoga of religious action.” The concept of austerity, tapas, may bring to mind images of yogis in the Himalayas living in a cave or bathing in the winter in the freezing waters of the Ganges. Though tapas does include these intense practices, it also includes easier ones that can be done by all. A simple form of tapas is sacrifice. Sacrifice is the act of giving up to a greater power a cherished possession be it money, time, intelligence or a physical object to manifest a greater good. The commentators describe self-study, svadhyaya, as recitation (japa) of the sacred syllable AUM and other similar mantras and as the study of the sacred lore on liberation. (moksha shastra). Though yoga as taught today tends to altogether leave out the concept of the Personal God, Ishvara, the Yoga Sutras give worship of and cultivating devotion to Ishvara a place of importance.",tapaḥsvādhyāyeśvarapraṇidhānāni kriyāyogaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,2,समाधिभावनार्थः क्लेशतनूकरणार्थश्च,The aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,What does a (successful) practice of Kriya Yoga leads to? What are the effects of Kriya Yoga? What are the fruits of Kriya Yoga? How can we eliminate suffering?,"Though the grammar of this Sutra gives the initial impression that the two goals of bringing about samadhi and weakening the kleshas are separate from one another, on further reflection it can be seen that to achieve samadhi it is necessary to first attentuate the influence of the kleshas. Thus another way of stating the purpose of kriya yoga is that it is the “yoga of purification” through religious observances.",samādhibhāvanārthaḥ kleśatanūkaraṇārthaśca,Sādhana-pāda
Patanjali Yoga Sutras,2,3,अविद्यास्मितारागद्वेषाभिनिवेशाः पञ्च क्लेशाः,"The roots of suffering include - ignorance, the sense of 'I', attachment, aversion, and fear of death.",What are kleshas? What are the barriers on the path of Yoga? How many kinds of barriers occur in the path of Yoga? What are the causes of suffering? Why do we suffer?,"These five kleshas can all be attenuated by the practice of kriya yoga. Ultimately, the kleshas can be completely obliterated through the experience of dharma megha samadhi.",avidyāsmitārāgadveṣābhiniveśāḥ kleśāḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,4,अविद्या क्षेत्रमुत्तरेषां प्रसुप्ततनुविच्छिन्नोदाराणाम्,"The causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",What is the origin of kleshas? What is the fundamental causative factor of the barriers to Yoga? What is the breeding ground for kleshas? What are the different kinds of sufferings?,"Commentators indicate the kleshas are dormant in a baby, attenuated by yogic practices, intercepted when one temporarily blocks another, or fully activated in an average person who is not even trying to control them.",avidyā kṣetramuttareṣāṃ prasuptatanuvicchinnodārāṇām,Sādhana-pāda
Patanjali Yoga Sutras,2,5,अनित्याशुचिदुःखानात्मसु नित्यशुचिसुखात्मख्यातिरविद्या,"Ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",What is ignorance? What happens in a state of Ignorance? What is the state of confusion?,In common usage “ignorance” refers to not knowing how to do something such as being ignorant about caring for dairy cows. Ignorance of the type mentioned in this Sutra is different. It is referring to looking at something and totally mistaking its nature.,anityāśuciduḥkhānātmasu nityaśucisukhātmakhyātiravidyā,Sādhana-pāda
Patanjali Yoga Sutras,2,6,दृग्दर्शनशक्त्योरेकात्मतेवास्मिता,The sense of 'I' (wrongly) identifies perception of pure awareness as the perception of the senses.,What is Ego?,"Visioner, of course, is the purusha. The powers of vision is referring to our intellect, buddhi.",dṛgdarśanaśaktyorekātmatevāsmitā,Sādhana-pāda
